username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
N_H_Australia;2015-10-13 16:24;0;0;"Koala cull suggested to save native marsupials from chlamydia http:// ift.tt/1R8ggaP";;;;"653803583566180352";https://twitter.com/N_H_Australia/status/653803583566180352
LP_EmmaGraney;2015-10-06 07:51;1;1;"Hey guys, there's a koala cull in Australia . http://www. abc.net.au/news/2015-10-0 6/health-of-great-ocean-road-koala-population-improving/6829156 ";;;;"651137676104433666";https://twitter.com/LP_EmmaGraney/status/651137676104433666
TheLIinCLINT;2015-09-29 03:59;1;0;"Australia begins koala cull http:// a.msn.com/01/en-au/AAeSV Ld?ocid=st Witness the truly phenomenal problem-solving abilities of the 'great' human brain.";;;;"648557605300781056";https://twitter.com/TheLIinCLINT/status/648557605300781056
IBTimesUK;2015-09-29 02:45;5;1;"Australia begins koala cull to save species from mass starvation http:// dlvr.it/CHjhK2 pic.twitter.com/3GX9WJ4Zg3";;;;"648539062060494848";https://twitter.com/IBTimesUK/status/648539062060494848
XHNews;2015-09-28 13:24;50;81;"Koala overpopulation forces Australia to start largest cull , relocation plan http:// xhne.ws/Jwefc (AFP pics) pic.twitter.com/Tsqn159wlh";;;;"648337452680110081";https://twitter.com/XHNews/status/648337452680110081
NyatsbyKitti;2015-09-27 19:41;0;0;"Australia mulls koala cull , Japans whaling advocates eat up the irony like delicious whalemeat http:// en.rocketnews24.com/2015/05/28/aus tralia-mulls-koala-cull-japans-whaling-advocates-eat-up-the-irony-like-delicious-whale-meat/ via @RocketNews24En";;@RocketNews24En;;"648069954290343937";https://twitter.com/NyatsbyKitti/status/648069954290343937
tuitAustralia;2015-09-22 14:00;0;0;"Koala cull underway at Cape Otway http:// au.tusueldo.com/tVf #news #Australia";;;#news #Australia;"646172277155868673";https://twitter.com/tuitAustralia/status/646172277155868673
Loretta_Snape;2015-07-20 23:32;0;0;"South Australia koala cull not on horizon: Ian Hunter http://www. theaustralian.com.au/national-affai rs/state-politics/south-australia-koala-cull-not-on-horizon-ian-hunter/story-e6frgczx-1227448234752 ";;;;"623123269152034816";https://twitter.com/Loretta_Snape/status/623123269152034816
madtrekkie;2015-07-20 04:42;0;0;"South Australia koala cull not on horizon: Ian Hunter... http:// fb.me/2kNW5LR6j";;;;"622838931223134208";https://twitter.com/madtrekkie/status/622838931223134208
clumpydust;2015-06-03 06:56;1;0;"#Koala cull resumes in Australian tourist destination http:// ln.is/focusingonwild life.com/3zFpw via @Wildlife_Focus #Australia #StopTheCull";;@Wildlife_Focus;#Koala #Australia #StopTheCull;"605840476336353280";https://twitter.com/clumpydust/status/605840476336353280
robinsonj89;2015-06-02 08:15;0;0;"Caught between a rock & a hard place, #Australia needs to cull "overabundant" #koala colony to save #environment : http:// ow.ly/3xVtW5";;;#Australia #koala #environment;"605497928308916224";https://twitter.com/robinsonj89/status/605497928308916224
dlAustralianews;2015-05-31 07:11;0;0;"Australia To Kill Koalas? Ecological Catastrophe Sparks Cull : The koala may be one of the most iconic Austra... http:// binged.it/1JfjgAC";;;;"604757152306044928";https://twitter.com/dlAustralianews/status/604757152306044928
dlVietnam;2015-05-29 21:40;0;1;"Overcrowded koala colony faces cull : A colony of koalas in Cape Otway, southern Australia , may have to be cull ... http:// bit.ly/1G6yPeP";;;;"604251070932504576";https://twitter.com/dlVietnam/status/604251070932504576
World_News_N1;2015-05-29 07:39;0;0;"Koala colony faces cull as food supply dwindles: An overcrowded colony of about 1,000 koalas in Australia is b... http:// bit.ly/1Rs2L72";;;;"604039403120394240";https://twitter.com/World_News_N1/status/604039403120394240
RobynDixon_LAT;2015-05-29 02:30;0;1;"Australia planning a koala cull . Are they mad? http://www. timeslive.co.za/scitech/2015/0 5/27/Australia-could-kill-over-crowded-koalas ";;;;"603961475380736000";https://twitter.com/RobynDixon_LAT/status/603961475380736000
TheAustraliaHub;2015-05-28 11:43;0;0;"Fears of another koala cull in Australia as officials claim they are 'overabundant' in Victoria http://www. snsanalytics.com/9Lymy4";;;;"603738214898147328";https://twitter.com/TheAustraliaHub/status/603738214898147328
hikosaemon;2015-05-28 09:26;1;0;"Australia mulls koala cull , Japans whaling advocates eat up the irony like delicious whale meat http:// ift.tt/1HM2RSs (RocketNews24)";;;;"603703735202783232";https://twitter.com/hikosaemon/status/603703735202783232
RocketNews24En;2015-05-28 03:30;0;0;"Australia mulls koala cull , Japans whaling advocates eat up the irony like delicious whalemeat http:// wp.me/p2nZlN-10Tu";;;;"603614344585191424";https://twitter.com/RocketNews24En/status/603614344585191424
yourtechmama;2015-05-28 00:17;1;1;"Wowblack eye month for Australia first Pistol and Boo almost got whacked Down Under, rumoured Koala Bear cull and https:// subprimecanada.wordpress.com/2015/05/27/wow -black-eye-month-for-australia-first-pistol-and-boo-almost-got-whacked-down-under-rumoured-koala-bear-cull-and-now-the-gainfully-employe-d-of-australias-major-cities-get-real-familiar-with-t ";;;;"603565643007332352";https://twitter.com/yourtechmama/status/603565643007332352
TODAYonline;2015-05-27 21:45;7;6;"Overpopulated koala colony in Australia may lead to a cull , worrying animal lobbyists http:// tdy.sg/1J4TZc7 pic.twitter.com/pADy8MyVbT";;;;"603527328921067522";https://twitter.com/TODAYonline/status/603527328921067522
