username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JenelleThongs;2016-02-29 23:54;0;1;"JW and Blaze calling a panda...a koala bear....i done eh lmaooooo";;;;"704288588029149185";https://twitter.com/JenelleThongs/status/704288588029149185
aussiesonic;2016-02-29 10:28;0;1;"@SA2OAP I can't believe this I'm calling my lawyer he's a koala";;@SA2OAP;;"704085774505869312";https://twitter.com/aussiesonic/status/704085774505869312
ines_koala_13;2016-02-29 00:30;0;0;"Lights go down and the night is calling to me ..yeah";;;;"703935281129504768";https://twitter.com/ines_koala_13/status/703935281129504768
Koala_Tease;2016-02-26 13:45;0;0;"@cheapsuits Both. Trump has no plan & Rubio is finally calling him out on it. Trump has "won" prev. debates w/o any substance, all bullying";;@cheapsuits;;"703048318981509123";https://twitter.com/Koala_Tease/status/703048318981509123
Alex_94706;2016-02-26 11:46;0;0;"(5x) least, not if student pub in question makes fun of left-wing pieties rather than calling for murder. Viva El Koala . @ucsdlibrary";;@ucsdlibrary;;"703018208295424000";https://twitter.com/Alex_94706/status/703018208295424000
Donimals_;2016-02-26 11:13;0;0;"@MatPatGT @CordyPatrick you guys jinxed Chloe by calling her a Koala , now she actually can't move :( #GTLive";;@MatPatGT @CordyPatrick;#GTLive;"703009945856282624";https://twitter.com/Donimals_/status/703009945856282624
eruditeknight;2016-02-24 10:31;0;0;"@MultipleNights Put simply, it was more wounding to the man when they were calling him a Canadian, than to call him a koala .";;@MultipleNights;;"702274725561679872";https://twitter.com/eruditeknight/status/702274725561679872
BlerdsOnline;2016-02-20 04:57;1;0;"Are you calling me a homosexual? I've never been called a homosexual by a koala bear. GET THESE HANDS TINY BEAR https:// twitter.com/TheCosby/statu s/700740597343191040 ";;;;"700741091985743874";https://twitter.com/BlerdsOnline/status/700741091985743874
Ban_Live_Export;2016-02-18 19:20;4;2;"Calling all Sydneysiders join the rally protesting animal cruelty at the Koala Park Sanctuary @NiallBlairMLC https:// twitter.com/keeptalkingaus /status/699911942429868032 ";;@NiallBlairMLC;;"700233406534168577";https://twitter.com/Ban_Live_Export/status/700233406534168577
SoutrikDebnath;2016-02-17 01:52;1;6;"Websites calling Kanye's Twitter rants "bizarre". A koala inside a kangaroo's pouch is bizzare. Kanye is bat shit crazy.";;;;"699607355718172672";https://twitter.com/SoutrikDebnath/status/699607355718172672
Koala_Kenny;2016-02-14 21:03;0;0;"You're fucking retarded, what do you think your mom was calling your dad https:// twitter.com/danikahatfield d/status/691845252550938630 ";;;;"698809848352256000";https://twitter.com/Koala_Kenny/status/698809848352256000
AllOutJay;2016-02-14 04:26;0;1;"@Konpaatre Always knew you loved me despite calling me a koala :P.";;@Konpaatre;;"698558861259706368";https://twitter.com/AllOutJay/status/698558861259706368
Rachhart09;2016-02-12 18:14;0;0;"According to bbc, culling might be the only way to save Australia's koala population. http://www. bbc.com/earth/story/20 160211-half-of-australias-koalas-now-have-chlamydia?ocid=fbert ";;;;"698042600662544384";https://twitter.com/Rachhart09/status/698042600662544384
tracewindu;2016-02-11 13:23;0;0;"The couple next to me are calling themselves "boo bear" and " koala " and I just want to vomit everywhere";;;;"697606795922165764";https://twitter.com/tracewindu/status/697606795922165764
StephaniSincere;2016-02-11 11:00;0;0;"Surprised no one called out @RyanTheTwit for calling a kangaroo a koala in that free play. cc: @megturney";;@RyanTheTwit @megturney;;"697570832600711168";https://twitter.com/StephaniSincere/status/697570832600711168
